onset	duration	sample	trial_type	response_time	stim_file	value
324.3680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
325.7780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
327.1760000000	n/a	n/a	Novel Tone	n/a	n/a	S202
328.5420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
330.0160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
331.3940000000	n/a	n/a	Novel Tone	n/a	n/a	S202
332.7080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
333.8580000000	n/a	n/a	Standard Tone	n/a	n/a	S201
335.0400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
336.4520000000	n/a	n/a	Novel Tone	n/a	n/a	S202
337.4920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
338.6160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
339.6700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
340.9580000000	n/a	n/a	Standard Tone	n/a	n/a	S201
341.9980000000	n/a	n/a	Target Tone	n/a	n/a	S200
343.1460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
344.5100000000	n/a	n/a	Novel Tone	n/a	n/a	S202
345.5480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
346.9320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
348.1860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
349.4760000000	n/a	n/a	Target Tone	n/a	n/a	S200
350.6420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
351.6920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
352.8860000000	n/a	n/a	Novel Tone	n/a	n/a	S202
354.3060000000	n/a	n/a	Standard Tone	n/a	n/a	S201
355.7540000000	n/a	n/a	Standard Tone	n/a	n/a	S201
357.0980000000	n/a	n/a	Target Tone	n/a	n/a	S200
358.0840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
359.5460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
360.9840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
362.0640000000	n/a	n/a	Target Tone	n/a	n/a	S200
363.5680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
364.5840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
365.6340000000	n/a	n/a	Target Tone	n/a	n/a	S200
366.8700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
367.9040000000	n/a	n/a	Standard Tone	n/a	n/a	S201
369.1920000000	n/a	n/a	Novel Tone	n/a	n/a	S202
370.3260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
371.5240000000	n/a	n/a	Novel Tone	n/a	n/a	S202
372.8240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
373.9600000000	n/a	n/a	Target Tone	n/a	n/a	S200
392.3680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
393.0680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
394.2460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
395.4020000000	n/a	n/a	Novel Tone	n/a	n/a	S202
396.4440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
397.6680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
399.0500000000	n/a	n/a	Target Tone	n/a	n/a	S200
399.9980000000	n/a	n/a	Standard Tone	n/a	n/a	S201
401.2160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
402.4480000000	n/a	n/a	Novel Tone	n/a	n/a	S202
403.6780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
404.9300000000	n/a	n/a	Novel Tone	n/a	n/a	S202
405.9720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
406.9740000000	n/a	n/a	Standard Tone	n/a	n/a	S201
408.1020000000	n/a	n/a	Standard Tone	n/a	n/a	S201
409.5360000000	n/a	n/a	Target Tone	n/a	n/a	S200
410.8720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
412.1480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
413.2840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
414.3500000000	n/a	n/a	Target Tone	n/a	n/a	S200
415.4660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
416.5300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
417.8280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
419.2180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
420.7020000000	n/a	n/a	Standard Tone	n/a	n/a	S201
422.0780000000	n/a	n/a	Target Tone	n/a	n/a	S200
423.5520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
424.8740000000	n/a	n/a	Standard Tone	n/a	n/a	S201
425.8680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
427.0980000000	n/a	n/a	Standard Tone	n/a	n/a	S201
428.0880000000	n/a	n/a	Target Tone	n/a	n/a	S200
429.1960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
430.5400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
431.6800000000	n/a	n/a	Novel Tone	n/a	n/a	S202
432.8140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
434.1140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
435.4880000000	n/a	n/a	Novel Tone	n/a	n/a	S202
436.5300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
437.9920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
439.0180000000	n/a	n/a	Novel Tone	n/a	n/a	S202
440.1560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
441.6040000000	n/a	n/a	Standard Tone	n/a	n/a	S201
442.9060000000	n/a	n/a	Target Tone	n/a	n/a	S200
444.1700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
445.5260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
446.6500000000	n/a	n/a	Novel Tone	n/a	n/a	S202
447.7860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
449.0100000000	n/a	n/a	Target Tone	n/a	n/a	S200
450.4800000000	n/a	n/a	Standard Tone	n/a	n/a	S201
451.7840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
452.9180000000	n/a	n/a	Novel Tone	n/a	n/a	S202
454.1460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
455.3720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
456.4760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
457.7340000000	n/a	n/a	Standard Tone	n/a	n/a	S201
458.8100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
459.9440000000	n/a	n/a	Target Tone	n/a	n/a	S200
461.0080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
462.4140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
463.6560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
465.0120000000	n/a	n/a	Standard Tone	n/a	n/a	S201
466.0080000000	n/a	n/a	Target Tone	n/a	n/a	S200
467.3300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
468.4400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
469.8280000000	n/a	n/a	Novel Tone	n/a	n/a	S202
471.0500000000	n/a	n/a	Standard Tone	n/a	n/a	S201
472.4760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
473.6040000000	n/a	n/a	Standard Tone	n/a	n/a	S201
474.9260000000	n/a	n/a	Novel Tone	n/a	n/a	S202
476.3440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
477.4840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
478.7320000000	n/a	n/a	Novel Tone	n/a	n/a	S202
479.8700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
481.3900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
482.3960000000	n/a	n/a	Target Tone	n/a	n/a	S200
483.7080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
484.8440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
485.8720000000	n/a	n/a	Target Tone	n/a	n/a	S200
487.0980000000	n/a	n/a	Standard Tone	n/a	n/a	S201
488.0820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
489.3000000000	n/a	n/a	Novel Tone	n/a	n/a	S202
490.7180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
492.1500000000	n/a	n/a	Novel Tone	n/a	n/a	S202
493.5740000000	n/a	n/a	Standard Tone	n/a	n/a	S201
494.9100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
496.2740000000	n/a	n/a	Standard Tone	n/a	n/a	S201
497.5580000000	n/a	n/a	Target Tone	n/a	n/a	S200
498.9960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
500.3760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
501.6880000000	n/a	n/a	Novel Tone	n/a	n/a	S202
502.7340000000	n/a	n/a	Standard Tone	n/a	n/a	S201
504.1220000000	n/a	n/a	Target Tone	n/a	n/a	S200
505.5780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
506.7180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
508.1400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
509.2980000000	n/a	n/a	Target Tone	n/a	n/a	S200
510.3320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
511.7780000000	n/a	n/a	Novel Tone	n/a	n/a	S202
512.9160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
514.2820000000	n/a	n/a	Target Tone	n/a	n/a	S200
